Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Smote,No selection,59,1,141,388,0.9833333333333333,0.1319910514541387,0.6742918360273498,0.06474734981610963
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,No sampling,CFS with Best First,1,0,142,446,1.0,0.0022371364653243847,0.5353609351860604,0.0010799382457848134
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Oversampling,CFS with Best First,4,1,141,443,0.8,0.008948545861297539,0.5152818476856665,9.245180663055248E-4
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Undersampling,CFS with Best First,1,0,142,446,1.0,0.0022371364653243847,0.5425607335286889,0.0010799382457848134
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Smote,CFS with Best First,2,1,141,445,0.6666666666666666,0.0044742729306487695,0.5386772536786716,-0.0012425295767776764
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,No sampling,Wrapper with Best First,16,0,142,431,1.0,0.035794183445190156,0.672842423669534,0.017584935159421517
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Oversampling,Wrapper with Best First,24,1,141,423,0.96,0.053691275167785234,0.6810977723162239,0.023163757832729642
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Undersampling,Wrapper with Best First,24,1,141,423,0.96,0.053691275167785234,0.6774978731449097,0.023163757832729642
BOOKKEEPER,4,0.45656370656370654,0.19027484143763213,0.7589134125636672,Naive Bayes,Smote,Wrapper with Best First,24,1,141,423,0.96,0.053691275167785234,0.675323754608186,0.023163757832729642
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,No sampling,No selection,250,76,63,57,0.7668711656441718,0.8143322475570033,0.7076254306001453,0.2779657715996788
BOOKKEEPER,5,0.646074646074646,0.3570717131474104,0.6883408071748879,Random Forest,Oversampling,No selection,257,90,49,50,0.7406340057636888,0.8371335504885994,0.6971269889625759,0.20586065678019996
