Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,No sampling,Sensitive learning,44,68,156,33,0.39285714285714285,0.5714285714285714,0.6339285714285714,0.23309200070633934
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Oversampling,No sensitive,59,106,118,18,0.3575757575757576,0.7662337662337663,0.6518147031539888,0.21310507674144027
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Oversampling,Sensitive threshold,24,47,177,53,0.3380281690140845,0.3116883116883117,0.5440051020408163,0.10453977509371096
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Oversampling,Sensitive learning,59,100,124,18,0.3710691823899371,0.7662337662337663,0.6599025974025974,0.23699248120300748
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Undersampling,No sensitive,57,91,133,20,0.38513513513513514,0.7402597402597403,0.6783395176252319,0.2564262346159838
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Undersampling,Sensitive threshold,56,81,143,21,0.40875912408759124,0.7272727272727273,0.6638740723562152,0.29120879120879123
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Undersampling,Sensitive learning,57,84,140,20,0.40425531914893614,0.7402597402597403,0.6826298701298701,0.2869897959183673
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Smote,No sensitive,53,88,136,24,0.375886524822695,0.6883116883116883,0.6812384044526901,0.23214285714285723
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Smote,Sensitive threshold,32,13,211,45,0.7111111111111111,0.4155844155844156,0.6890074211502782,0.4140037593984962
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,IBk,Wrapper with Best First,Smote,Sensitive learning,53,86,138,24,0.381294964028777,0.6883116883116883,0.6521915584415584,0.24077046548956677
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,No sampling,No sensitive,29,9,215,48,0.7631578947368421,0.37662337662337664,0.7352736549165121,0.403504502311998
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,No sampling,Sensitive threshold,27,8,216,50,0.7714285714285715,0.35064935064935066,0.7352736549165121,0.38358872960949064
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,No sampling,Sensitive learning,27,8,216,50,0.7714285714285715,0.35064935064935066,0.6574675324675324,0.38358872960949064
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Oversampling,No sensitive,25,9,215,52,0.7352941176470589,0.3246753246753247,0.6620767625231911,0.3483229813664596
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Oversampling,Sensitive threshold,23,5,219,54,0.8214285714285714,0.2987012987012987,0.7709879406307978,0.349320338548346
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Oversampling,Sensitive learning,23,9,215,54,0.71875,0.2987012987012987,0.6292613636363636,0.31985940246045674
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Undersampling,No sensitive,27,9,215,50,0.75,0.35064935064935066,0.6647147495361782,0.3761986722399805
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Undersampling,Sensitive threshold,21,5,219,56,0.8076923076923077,0.2727272727272727,0.7610447588126159,0.31993777547316576
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Undersampling,Sensitive learning,23,6,218,54,0.7931034482758621,0.2987012987012987,0.6359577922077922,0.34183673469387765
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Smote,No sensitive,28,10,214,49,0.7368421052631579,0.36363636363636365,0.6882247217068646,0.38257483572645434
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Smote,Sensitive threshold,21,8,216,56,0.7241379310344828,0.2727272727272727,0.6968634044526901,0.2979591836734696
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,No selection,Smote,Sensitive learning,27,9,215,50,0.75,0.35064935064935066,0.6552353896103896,0.3761986722399805
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,No sampling,No sensitive,31,11,213,46,0.7380952380952381,0.4025974025974026,0.7038497217068646,0.41545432864297627
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,No sampling,Sensitive threshold,30,8,216,47,0.7894736842105263,0.38961038961038963,0.7037917439703154,0.4244341688975421
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,No sampling,Sensitive learning,30,8,216,47,0.7894736842105263,0.38961038961038963,0.676948051948052,0.4244341688975421
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Oversampling,No sensitive,31,12,212,46,0.7209302325581395,0.4025974025974026,0.7167207792207793,0.40816326530612235
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Oversampling,Sensitive threshold,30,7,217,47,0.8108108108108109,0.38961038961038963,0.7032989332096475,0.43199608610567525
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Oversampling,Sensitive learning,28,9,215,49,0.7567567567567568,0.36363636363636365,0.6617288961038961,0.38992172211350273
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Undersampling,No sensitive,30,9,215,47,0.7692307692307693,0.38961038961038963,0.662917439703154,0.41694915254237286
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Undersampling,Sensitive threshold,25,7,217,52,0.78125,0.3246753246753247,0.7032409554730983,0.3630429324629677
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Undersampling,Sensitive learning,28,9,215,49,0.7567567567567568,0.36363636363636365,0.6617288961038961,0.38992172211350273
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Smote,No sensitive,32,13,211,45,0.7111111111111111,0.4155844155844156,0.6882537105751392,0.4140037593984962
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Smote,Sensitive threshold,35,19,205,42,0.6481481481481481,0.45454545454545453,0.7418541280148423,0.4098987626546681
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,CFS with Best First,Smote,Sensitive learning,30,10,214,47,0.75,0.38961038961038963,0.6724837662337663,0.4095398699108649
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,No sampling,No sensitive,36,17,207,41,0.6792452830188679,0.4675324675324675,0.7101982838589982,0.43625678119348993
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,No sampling,Sensitive threshold,31,11,213,46,0.7380952380952381,0.4025974025974026,0.7101982838589982,0.41545432864297627
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,No sampling,Sensitive learning,31,11,213,46,0.7380952380952381,0.4025974025974026,0.6767451298701299,0.41545432864297627
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Oversampling,No sensitive,34,17,207,43,0.6666666666666666,0.44155844155844154,0.6704545454545454,0.4112277498858969
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Oversampling,Sensitive threshold,34,14,210,43,0.7083333333333334,0.44155844155844154,0.7151843692022264,0.4325075248900208
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Oversampling,Sensitive learning,31,9,215,46,0.775,0.4025974025974026,0.6812094155844156,0.4302577692122382
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Undersampling,No sensitive,36,18,206,41,0.6666666666666666,0.4675324675324675,0.6701936456400742,0.4292463442069742
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Undersampling,Sensitive threshold,43,39,185,34,0.524390243902439,0.5584415584415584,0.6693239795918368,0.3763163123385654
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Undersampling,Sensitive learning,33,10,214,44,0.7674418604651163,0.42857142857142855,0.6919642857142857,0.44897959183673486
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Smote,No sensitive,38,22,202,39,0.6333333333333333,0.4935064935064935,0.6910946196660482,0.4261649529643404
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Smote,Sensitive threshold,39,22,202,38,0.639344262295082,0.5064935064935064,0.7551890074211502,0.4381533101045296
BOOKKEEPER,1,0.07722007722007722,0.42083333333333334,0.2558139534883721,Naive Bayes,Wrapper with Best First,Smote,Sensitive learning,34,13,211,43,0.723404255319149,0.44155844155844154,0.6917613636363636,0.4397394136807817
